price,sqft_living
3075000.0,4550
335000.0,2440
576000.0,1940
208633.0,2040
315000.0,2200
725000.0,1920
550000.0,1800
610750.0,2180
550700.0,1010
665000.0,3320
834000.0,2370
201000.0,1660
2384000.0,3650
1384000.0,4290
1400000.0,4290
305000.0,1950
487000.0,2590
390000.0,1930
548000.0,1470
819900.0,3150
520000.0,2030
230000.0,1450
240000.0,1510
232000.0,1240
240500.0,1240
274975.0,3030
740000.0,2050
186375.0,1000
790000.0,2370
880000.0,2800
279000.0,2240
295000.0,1810
640000.0,1070
940000.0,2490
260000.0,1960
559900.0,2930
791500.0,1510
265000.0,1420
245000.0,1740
485000.0,2560
684000.0,3040
425000.0,2500
309600.0,1275
552250.0,2580
165000.0,1000
239900.0,1000
320000.0,1070
206600.0,1390
387000.0,2500
855000.0,2270
315000.0,1900
252000.0,1550
375000.0,2200
300000.0,1910
420000.0,1750
900000.0,1330
679900.0,2440
463000.0,1640
380000.0,2760
329500.0,1820
604950.0,2110
795000.0,3040
465000.0,1840
673000.0,2990
810000.0,3520
785000.0,2440
338000.0,2090
280000.0,1430
315000.0,2180
530000.0,2180
380000.0,3450
297000.0,1450
730000.0,3230
450000.0,1640
275000.0,1590
595000.0,2020
435000.0,1300
270000.0,1380
950000.0,4040
389000.0,2130
560000.0,2550
1350000.0,4800
799000.0,2510
365500.0,1410
252350.0,1650
403950.0,2120
385000.0,2040
345000.0,1550
490000.0,1980
330000.0,1600
927000.0,3300
1118000.0,3840
330000.0,1220
530000.0,2720
365000.0,1940
378750.0,2160
269900.0,1530
557000.0,1710
360000.0,3730
352000.0,940
437000.0,1750
322500.0,1820
650000.0,1510
450000.0,1290
278500.0,1570
364950.0,1930
840000.0,2840
268000.0,1550
632925.0,2990
577500.0,2000
339000.0,2390
570000.0,2910
563500.0,2085
423000.0,2200
355000.0,1860
1550000.0,6070
625000.0,1600
538000.0,2250
380000.0,2280
245000.0,1530
310000.0,2190
1300000.0,2350
397000.0,1440
365000.0,2200
328500.0,2290
988000.0,4040
1000000.0,2610
237000.0,1490
525000.0,2450
749000.0,1710
722500.0,4870
843000.0,3130
438000.0,1270
578000.0,2120
227950.0,1670
196000.0,2070
641000.0,1420
350000.0,1250
400000.0,1920
1030000.0,3545
505000.0,1260
475000.0,2340
520000.0,2590
1450000.0,3970
333500.0,1220
232000.0,1400
691100.0,2360
811000.0,1870
551000.0,2830
496500.0,2260
705000.0,1970
578000.0,3140
255000.0,1240
1050000.0,3450
348000.0,2570
230000.0,1510
359500.0,2390
465000.0,1480
325000.0,1850
340500.0,2270
342500.0,1810
290900.0,1610
868700.0,3840
1199000.0,4110
1150000.0,4190
859900.0,3390
520000.0,1890
460000.0,1610
438924.0,1050
590000.0,2910
378500.0,1700
328500.0,1950
849950.0,2990
525000.0,1350
1385000.0,4860
295000.0,2160
1067000.0,4860
699900.0,2810
1280000.0,3400
452000.0,1580
370000.0,1680
232000.0,1300
669950.0,2820
397500.0,1510
490000.0,1230
725000.0,2110
299000.0,3080
625000.0,1490
437500.0,2120
650000.0,3180
475000.0,1490
342000.0,1930
1197350.0,2770
280000.0,1670
240000.0,1330
529000.0,1210
442000.0,1190
615000.0,1540
1485000.0,4030
585000.0,2430
480000.0,2600
1095000.0,4410
290000.0,1330
615000.0,1900
300000.0,1100
308000.0,1980
750000.0,2400
2250000.0,4760
890000.0,3180
288000.0,1190
515000.0,2530
235000.0,1690
727500.0,1240
650000.0,3040
1600000.0,6050
365000.0,1590
662000.0,2500
270500.0,1780
200000.0,1360
970000.0,4740
160000.0,1010
204000.0,1040
358000.0,1610
452000.0,1570
595000.0,1510
249000.0,1360
346900.0,1970
2125000.0,5403
280000.0,1560
318888.0,2320
530000.0,2120
375000.0,2120
910000.0,3350
782000.0,2380
259950.0,1070
315000.0,2300
215000.0,1320
705000.0,2180
1450000.0,4380
451000.0,1790
396000.0,1300
725000.0,2990
1950000.0,4640
238000.0,1400
750000.0,2750
331500.0,2050
460000.0,2230
404950.0,2340
880000.0,2870
863000.0,4120
638700.0,2080
435000.0,1840
260000.0,1180
671500.0,2160
610000.0,1180
405000.0,1160
338900.0,1830
720000.0,3200
442000.0,2560
650000.0,2550
263500.0,1330
300000.0,1220
266000.0,1805
930000.0,6050
530000.0,2320
180000.0,1384
619000.0,2720
264000.0,1820
730000.0,2130
439000.0,2060
268500.0,1420
330000.0,1510
640000.0,2160
900000.0,3180
370000.0,2110
685000.0,2060
505000.0,1830
265000.0,1820
290000.0,1610
296000.0,1780
360000.0,1840
240500.0,1460
372500.0,1400
595000.0,3370
515000.0,3590
1220000.0,3200
507000.0,1670
399950.0,2420
185000.0,1430
460000.0,1440
435500.0,1450
469000.0,3550
531000.0,1270
223000.0,1670
590000.0,3100
340000.0,1100
650000.0,1870
533600.0,1930
695000.0,2540
242000.0,1280
425000.0,1820
525000.0,1490
485000.0,1880
175000.0,1250
210000.0,1440
260000.0,1920
577000.0,2060
200000.0,1210
605000.0,1760
559950.0,1660
1042500.0,1900
543500.0,1270
480000.0,3250
565000.0,1330
426700.0,2080
650000.0,2690
415000.0,1070
